193,	7.859,
194,	7.899,
195,	7.939,
196,	7.979,
197,	8.019,
198,	8.059,
199,	8.099,
200,	8.138,
201,	8.178,
202,	8.218,
203,	8.258,
204,	8.298,
205,	8.338,
206,	8.378,
207,	8.418,
208,	8.458,
209,	8.499,
210,	8.539,
211,	8.579,
212,	8.619,
213,	8.659,
214,	8.699,
215,	8.739,
216,	8.779,
217,	8.819,
218,	8.86,
219,	8.9,
220,	8.94,
221,	8.98,
222,	9.02,
223,	9.061,
224,	9.101,
225,	9.141,
226,	9.181,
227,	9.222,
228,	9.262,
229,	9.302,
230,	9.343,
231,	9.383,
232,	9.423,
233,	9.464,
234,	9.504,
235,	9.545,
236,	9.585,
237,	9.626,
238,	9.666,
239,	9.707,
240,	9.747,
241,	9.788,
242,	9.828,
243,	9.869,
244,	9.909,
245,	9.95,
246,	9.991,
247,	10.031,
248,	10.072,
249,	10.113,
250,	10.153,
251,	10.194,
252,	10.235,
253,	10.276,
254,	10.316,
255,	10.357,
256,	10.398,
257,	10.439,
258,	10.48,
259,	10.52,
260,	10.561,
261,	10.602,
262,	10.643,
263,	10.684,
264,	10.725,
265,	10.766,
266,	10.807,
267,	10.848,
268,	10.889,
269,	10.93,
270,	10.971,
271,	11.012,
272,	11.053,
273,	11.094,
274,	11.135,
275,	11.176,
276,	11.217,
277,	11.259,
278,	11.3,
279,	11.341,
280,	11.382,
281,	11.423,
282,	11.465,
283,	11.506,
284,	11.547,
285,	11.588,
286,	11.63,
287,	11.671,
288,	11.712,
289,	11.753,
290,	11.795,
291,	11.836,
292,	11.877,
293,	11.919,
294,	11.96,
295,	12.001,
296,	12.043,
297,	12.084,
298,	12.126,
299,	12.167,
300,	12.209,
301,	12.25,
302,	12.291,
303,	12.333,
304,	12.374,
305,	12.416,
306,	12.457,
307,	12.499,
308,	12.54,
309,	12.582,
310,	12.624,
311,	12.665,
312,	12.707,
313,	12.748,
314,	12.79,
315,	12.831,
316,	12.873,
317,	12.915,
318,	12.956,
319,	12.998,
320,	13.04,
321,	13.081,
322,	13.123,
323,	13.165,
324,	13.206,
325,	13.248,
326,	13.29,
327,	13.331,
328,	13.373,
329,	13.415,
330,	13.457,
331,	13.498,
332,	13.54,
333,	13.582,
334,	13.624,
335,	13.665,
336,	13.707,
337,	13.749,
338,	13.791,
339,	13.833,
340,	13.874,
341,	13.916,
342,	13.958,
343,	14,
344,	14.042,
345,	14.084,
346,	14.126,
347,	14.167,
348,	14.209,
349,	14.251,
350,	14.293,
351,	14.335,
352,	14.377,
353,	14.419,
354,	14.461,
355,	14.503,
356,	14.545,
357,	14.587,
358,	14.629,
359,	14.671,
360,	14.713,
361,	14.755,
362,	14.797,
363,	14.839,
364,	14.881,
365,	14.923,
366,	14.965,
367,	15.007,
368,	15.049,
369,	15.091,
370,	15.133
